"GEOID","SUFFIX","COUNT","TOTAL_ROADS","PCT"
1001,"DR",351,1460,24.04
1003,"LN",1660,8009,20.73
1005,"RD",522,1220,42.79
1007,"RD",378,1078,35.06
1009,"RD",942,2251,41.85
1011,"RD",174,499,34.87
1013,"RD",614,1254,48.96
1015,"ST",929,4006,23.19
1017,"ST",290,796,36.43
1019,"ST",185,502,36.85
1021,"ST",174,620,28.06
1023,"RD",670,1095,61.19
1025,"RD",787,1770,44.46
1027,"RD",601,920,65.33
1029,"ST",108,300,36
1031,"ST",377,1115,33.81
1033,"ST",580,2488,23.31
1035,"RD",392,882,44.44
1037,"RD",270,667,40.48
1039,"RD",1134,2795,40.57
1041,"RD",584,952,61.34
1043,"RD",216,582,37.11
1045,"ST",442,1769,24.99
1047,"ST",281,1012,27.77
1049,"ST",304,1057,28.76
1051,"RD",1113,3112,35.76
1053,"RD",734,2110,34.79
1055,"RD",942,3862,24.39
1057,"RD",452,703,64.3
1059,"RD",637,1422,44.8
1061,"RD",729,1563,46.64
1063,"RD",179,556,32.19
1065,"RD",380,828,45.89
1067,"ST",153,502,30.48
1069,"RD",886,3134,28.27
1071,"ST",435,1333,32.63
1073,"DR",3476,17213,20.19
1075,"RD",601,1007,59.68
1077,"DR",557,2328,23.93
1079,"ST",148,383,38.64
1081,"DR",572,2578,22.19
1083,"RD",668,2498,26.74
1085,"RD",432,893,48.38
1087,"RD",315,1068,29.49
1089,"DR",1583,4762,33.24
1091,"RD",259,1009,25.67
1093,"RD",758,1707,44.41
1095,"RD",1151,3282,35.07
1097,"DR",2455,10214,24.04
1099,"RD",784,1645,47.66
1101,"DR",1202,5350,22.47
1103,"RD",837,1948,42.97
1105,"RD",271,542,50
1107,"RD",641,1042,61.52
1109,"ST",256,903,28.35
1111,"DR",218,701,31.1
1113,"RD",498,2117,23.52
1115,"RD",1022,3919,26.08
1117,"DR",1577,6287,25.08
1119,"RD",299,812,36.82
1121,"LN",1031,3523,29.26
1123,"RD",1074,3029,35.46
1125,"DR",1703,6436,26.46
1127,"RD",1663,3674,45.26
1129,"RD",978,1487,65.77
1131,"RD",423,803,52.68
1133,"RD",303,918,33.01
4001,"RD",727,1931,37.65
4003,"RD",2350,8014,29.32
4005,"RD",1516,5445,27.84
4007,"DR",811,3664,22.13
4009,"RD",422,1474,28.63
4011,"RD",203,637,31.87
4012,"RD",425,1481,28.7
4013,"DR",24125,95955,25.14
4015,"DR",3639,11202,32.49
4017,"RD",1636,6030,27.13
4019,"DR",4509,20540,21.95
4021,"DR",3860,16348,23.61
4023,"CT",726,1994,36.41
4025,"RD",3087,12442,24.81
4027,"ST",1258,4351,28.91
5001,"RD",440,1461,30.12
5003,"RD",393,951,41.32
5005,"LN",895,2974,30.09
5007,"LN",2768,10885,25.43
5009,"LN",476,1933,24.62
5011,"RD",616,957,64.37
5013,"RD",64,189,33.86
5015,"RD",296,1182,25.04
5017,"ST",309,709,43.58
5019,"RD",1010,1766,57.19
5021,"ST",439,730,60.14
5023,"RD",550,1839,29.91
5025,"RD",404,657,61.49
5027,"ST",400,619,64.62
5029,"RD",518,1445,35.85
5031,"RD",1050,3460,30.35
5033,"ST",456,2114,21.57
5035,"RD",558,1563,35.7
5037,"RD",174,555,31.35
5039,"ST",184,435,42.3
5041,"ST",308,772,39.9
5043,"RD",284,847,33.53
5045,"DR",1093,3775,28.95
5047,"RD",396,968,40.91
5049,"LN",498,1670,29.82
5051,"LN",1146,6011,19.07
5053,"ST",154,605,25.45
5055,"RD",435,1239,35.11
5057,"RD",471,1057,44.56
5059,"RD",665,1868,35.6
5061,"RD",531,1011,52.52
5063,"LN",593,1992,29.77
5065,"RD",260,1141,22.79
5067,"ST",330,658,50.15
5069,"ST",915,3237,28.27
5071,"RD",373,981,38.02
5073,"ST",248,406,61.08
5075,"ST",449,1027,43.72
5077,"ST",129,255,50.59
5079,"RD",283,637,44.43
5081,"ST",258,532,48.5
5083,"RD",488,1267,38.52
5085,"RD",735,2576,28.53
5087,"RD",82,270,30.37
5089,"LN",717,1549,46.29
5091,"ST",520,1343,38.72
5093,"ST",779,1615,48.24
5095,"RD",228,657,34.7
5097,"RD",479,1484,32.28
5099,"RD",347,490,70.82
5101,"RD",187,313,59.74
5103,"ST",173,461,37.53
5105,"LN",250,883,28.31
5107,"ST",248,572,43.36
5109,"RD",737,1333,55.29
5111,"RD",379,1230,30.81
5113,"RD",948,2263,41.89
5115,"LN",724,2678,27.04
5117,"RD",624,973,64.13
5119,"DR",2528,10854,23.29
5121,"RD",418,1122,37.25
5123,"ST",231,668,34.58
5125,"DR",1113,4841,22.99
5127,"RD",582,1034,56.29
5129,"RD",595,1507,39.48
5131,"ST",1332,3411,39.05
5133,"RD",347,924,37.55
5135,"RD",541,1785,30.31
5137,"RD",417,866,48.15
5139,"RD",570,1885,30.24
5141,"RD",674,1789,37.67
5143,"RD",1616,6389,25.29
5145,"RD",964,3194,30.18
5147,"ST",162,290,55.86
5149,"RD",656,1375,47.71
6001,"CT",3713,18718,19.84
6003,"RD",115,200,57.5
6005,"RD",606,1908,31.76
6007,"RD",1356,6868,19.74
6009,"RD",998,3021,33.04
6011,"RD",397,860,46.16
6013,"CT",6233,20703,30.11
6015,"RD",316,1235,25.59
6017,"RD",1931,8084,23.89
6019,"AVE",10996,16547,66.45
6021,"ST",224,582,38.49
6023,"RD",1943,6037,32.18
6025,"RD",1325,4650,28.49
6027,"RD",661,1353,48.85
6029,"ST",5051,21647,23.33
6031,"AVE",987,2841,34.74
6033,"RD",1420,3803,37.34
6035,"RD",761,1696,44.87
6037,"AVE",20794,76703,27.11
6039,"RD",651,3219,20.22
6041,"RD",1000,5874,17.02
6043,"RD",790,1490,53.02
6045,"RD",1404,3506,40.05
6047,"CT",1198,5130,23.35
6049,"RD",853,1487,57.36
6051,"RD",540,1117,48.34
6053,"RD",1460,6492,22.49
6055,"CT",528,2845,18.56
6057,"RD",1576,5348,29.47
6059,"DR",6619,35287,18.76
6061,"CT",2722,10876,25.03
6063,"RD",664,1871,35.49
6065,"DR",7980,41670,19.15
6067,"WAY",6333,24687,25.65
6069,"RD",360,1342,26.83
6071,"RD",11460,48329,23.71
6073,"ST",6054,37646,16.08
6075,"ST",1455,3519,41.35
6077,"CT",2131,12476,17.08
6079,"RD",2204,8621,25.57
6081,"AVE",1857,8832,21.03
6083,"RD",1572,7173,21.92
6085,"CT",6082,24684,24.64
6087,"RD",1496,6407,23.35
6089,"RD",1913,7824,24.45
6091,"RD",368,607,60.63
6093,"RD",1424,3575,39.83
6095,"CT",2319,7734,29.98
6097,"RD",2840,12168,23.34
6099,"CT",1967,9047,21.74
6101,"RD",405,1796,22.55
6103,"RD",822,2937,27.99
6105,"RD",1020,1681,60.68
6107,"AVE",2870,8599,33.38
6109,"RD",1242,3293,37.72
6111,"ST",2572,14064,18.29
6113,"ST",686,3250,21.11
6115,"RD",410,1939,21.14
8001,"ST",2634,9476,27.8
8003,"ST",141,748,18.85
8005,"ST",2321,12233,18.97
8007,"CT",312,1240,25.16
8009,"ST",136,212,64.15
8011,"ST",82,207,39.61
8013,"DR",1234,6968,17.71
8014,"ST",279,1838,15.18
8015,"ST",197,917,21.48
8017,"ST",21,36,58.33
8019,"RD",302,808,37.38
8021,"ST",140,307,45.6
